authorId,contrib_index,contribution,ideas,type,syntax,semantic
VXNlcjpjNDY0ZjllMy0xZDk4LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,3,Repartir les richesses.  suppression de la taxe d habitation pour tous les français et de la csg reindexé les retraites  . Ne plus diviser les français (les patrons ont besoin des plus modestes et vice versa. Les patrons ne réussisses que si les plus modestes sont aussi avec eux) . Les français ne veulent plus de l assistanat mais veulent vivre dignement de leur salaire,Il faut répartir les richesses || Il faut supprimer la taxe d'habitation pour tous les Français || Il faut supprimer la CSG || Il faut réindexer les retraites || Il ne faut plus diviser les Français || Les patrons et les plus modestes ont mutuellement besoin les uns des autres pour réussir || Les Français ne veulent plus de l'assistanat || Les Français veulent vivre dignement de leur salaire,statement,positive,neutral
VXNlcjo3MDdkM2IzOC0xZDYxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,4,"Les droits soient automatiques, comme nos devoirs de payer les impots","Les droits doivent être automatiques, tout comme le devoir de payer les impôts",statement,positive,neutral
VXNlcjoxZTNlOTExYi0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,7,réduire drastiquement la fraude fiscale. Imposer les grands groupes (GAFA) qui ne le sont pas suffisamment  Renforcer la taxe sur les transactions  financières,Il faut réduire drastiquement la fraude fiscale || Il faut imposer les grands groupes (GAFA) qui ne le sont pas suffisamment || Il faut renforcer la taxe sur les transactions financières,statement,positive,neutral
VXNlcjo1ODljMWRiMy0xZDVhLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,8,diminuer le taux de prelevement pour les retraités percevant mins de 2550 euros,Diminuer le taux de prélèvement pour les retraités percevant moins de 2550 euros,statement,positive,neutral
VXNlcjo0OTUzNmNmYy0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,9,"TOUT FRANÇAIS DEVRA PAYER L’IMPÔT QU’IL SOIT DOMICILIÉ OU NON EN FRANCE LES FRANÇAIS NE VOULANT PLUS PAYER L’IMPOT EN FRANCE DEVRONT CHANGER DE NATIONALITÉ .  L’IMPOT DEVRA ETRE PROGRESSIF EGALEMENT POUR LES ARTISTES ET LES CHEFS D’ENTREPRISE LES SPORTIFS ETC , LA FISCALITÉ DEVRA ETRE FIXÉE DANS LES SIX MOIS APRES LA PRISE DE FONCTION DU NOUVEAU GOUVERNEMENT (CONSTITUTION)  TOUTES SOCIÉTÉ  ÉTRANGÈRES REALISANT DES AFFAIRES EN FRANCE DEVRONT PAYER UN IMPOT OUBIEN UNE TAXE SUR CHIFFRE D’AFFAIRE ( PLUS DE POSSIBILITE D’AVOIR DES SOCIETE COMME LES GAFA)  UNE NOUVELLE TVA A 30% DEVRA ETRE INSTALLE POUR LES PRODUITS DE LUXE  (VOITURE , BIJOUX , ARTS ETC)   PLAFONNEMENT DES SALAIRES DES HAUTS FONCTIONNAIRES NE POUVANT ETRE SUPERIEUR AU PRIVE (PDG) MOYENNE EUROPÉENNE   TRANSPARENCE TOTALE SUR LES SALAIRES DES ASSEMBLÉES ET DU GOUVERNEMENT ET DES HAUT FONCTIONNAIRES  MISE A PLAT DE TOUTES LES NICHES FISCALES  ( FIN DES ABATTEMENTS FISCAUX POUR LES JOURNALISTES )","Tout Français devra payer l'impôt qu'il soit domicilié ou non en France || Les Français ne voulant plus payer l'impôt en France devront changer de nationalité || L'impôt devra être progressif également pour les artistes, les chefs d'entreprise et les sportifs || La fiscalité devra être fixée constitutionnellement dans les six mois après la prise de fonction du nouveau gouvernement || Toutes les sociétés étrangères réalisant des affaires en France devront payer un impôt ou une taxe sur le chiffre d'affaires || Il ne doit plus être possible d'avoir des sociétés fonctionnant comme les GAFA || Une nouvelle TVA à 30% devra être installée pour les produits de luxe comme les voitures, les bijoux ou les arts || Le salaire des hauts fonctionnaires doit être plafonné, ne pouvant être supérieur à la moyenne européenne du secteur privé || Il faut une transparence totale sur les salaires des assemblées, du gouvernement et des hauts fonctionnaires || Il faut mettre à plat toutes les niches fiscales, incluant la fin des abattements pour les journalistes",statement,positive,neutral
VXNlcjplN2VmZDU1NS0xYTY5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,10,Rétablir l'ISF sans délai avec incorporation dans son assiette de tous les éléments de fortune (objets d'art inclus + yachts etc) sans aucune autre dérogation ni exception qu'une fraction (25%) de la résidence principale ET les sommes investies durablement (5 ans) dans une entreprise française pour une affectation en FRANCE,"Il faut rétablir l'ISF sans délai || L'assiette de l'impôt doit incorporer tous les éléments de fortune, y compris les objets d'art et les yachts || Il ne faut tolérer aucune autre dérogation ni exception || Une fraction de 25% de la résidence principale doit être exemptée || Les sommes investies durablement (5 ans) dans une entreprise française pour une affectation en France doivent être exemptées",statement,positive,neutral
VXNlcjo5MmY3ZTU5Yy0xZTE2LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,12,ainsi une réelle égalité entre les citoyens serait réelle.,Une réelle égalité entre les citoyens serait effective,statement,positive,neutral
VXNlcjo4ZGU4OTA0OS0xZDYxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,14,"Les Impôts, Les Dépenses et l’action publique. La baisse des Impôts en général (Taxes, Contributions, Cotisations,  …) est une nécessité. Ceci peut se faire simplement en supprimant de nombreuses exemptions, niches, et subventions qui alimentent des organismes dont l’utilité n’a jamais été démontrée ou des rentes de situation (DOM-TOM par exemple)  •	Les « 35 heures » seront abolies, le temps de travail devant faire partie des négociations employeurs salariés dans les limites de la réglementation européenne. Les fonctionnaires devront s’aligner sur la moyenne des pays européens. •	Les aides aux entreprises associées au « 35 heures » seront également supprimées. •	Les relocalisations seront facilitées par une diminution des charges sur le travail compensée par une augmentation de la TVA (TVA ‘sociale’) et sans impact sur le pouvoir d’achat si l’on favorise les achats de produits ‘Made in France’. •	Annihiler le monopole de la CGT des dockers et autres activités dans les ports français en ouvrant à la concurrence. •	Annihiler le monopole de la CGT du Syndicat du Livre dans les métiers de la Presse. •	Faire supporter au budget de l’Etat le poids des Allocations familiales de façon à baisser les charges des entreprises. •	Mise en place du droit privé (CDI) pour la fonction publique, sauf les fonctions régaliennes qui conservent le statut ‘fonctionnaire’ (emploi garanti contre renoncement au droit de grève) •	Rémunération et avancement au mérite pour les fonctions publiques •	Gestion des ressources humaines centralisée pour les fonctions publiques pour dynamiser la mobilité inter-corps (fonction publique, Etat, Territoriale, Hôpital…) et les évolutions de carrière. •	La retraite par répartition sera unifiée et transformée en une retraite par points. •	Aligner les retraites des fonctionnaires et des salariés du Privé (ex : 6 mois  vs 25 ans…) •	La pénibilité sera reconnue par négociation dans l’entreprise pour l’acquisition de points additionnels. •	Lorsque le retraite par points sera mise en place, la date du départ à la retraite sera libre : le montant de la retraite sera alors calculé en fonction du nombre de points acquis et de l’espérance de vie (reste à vivre) par catégorie. •	Permettre à tous les salariés du Privé d’avoir une retraite par capitalisation (comme les fonctionnaires !) •	Le contrat de travail sera unifié Privé – Public, il sera unique un CDI (indéterminé ne veut pas dire permanent, le CDD est une forme de CDI !) •	Le statut de fonctionnaire n’impliquera pas une assurance d’un travail à vie (licenciement possible) •	Le budget de la France sera obligatoirement en équilibre (Constitution) ; seuls des évènements exceptionnels (guerre, catastrophe naturelle, …) approuvée par les 2/3 du Congrès pourront y déroger. •	On pourra emprunter pour des investissements à réaliser dans les infrastructures de transports, d’énergies non-carbonées, la santé, le logement. (l’ Education et l’Armée sont des dépenses courantes). •	Les subventions en tous genres de l’Etat seront supprimées (Syndicats, associations diverses…) ; en effet, il appartient aux adhérents de subvenir aux besoins des associations. •	L’ISF sur le capital : Il ne doit pas être rétabli, ce serait une erreur majeure. Sachons qu’un « riche » qui revient en France emploiera certainement plusieurs personnes et donc fera baisser le chômage, paiera des impôts….  •	L’ISF Immobilière sera modifié (pour favoriser la construction de logements en enlevant de son assiette les sommes investies dans des programmes de logements sociaux). •	La taxe d’habitation : sera supprimée pour tous conformément à la décision du gouvernement et du Conseil Constitutionnel. •	Les Taxes sur les entreprises : devront être revues à la baisse pour s’aligner par exemple sur l’Allemagne : cotisation foncière des entreprises (CFE et les taxes additionnelles qui bénéficient aux établissements publics fonciers et aux organismes consulaires (CCI et CMA). la cotisation sur la valeur ajoutée des entreprises (CVAE) et la taxe additionnelle vient également s'ajouter pour financer les chambres de commerce et d'industrie (CCI). Ces deux taxes – CFE et CVAE – constituent ensemble la contribution économique territoriale (CET). L’IFER se divise en neuf composantes dont l'énoncé ci-dessous illustre parfaitement le langage à la Prévert de l'administration française : - imposition sur les éoliennes et hydroliennes ; - imposition sur les installations de production d'électricité d'origine nucléaire ou thermique à flamme ; - imposition sur les centrales de production d'électricité d'origine photovoltaïque ou hydraulique ; - imposition sur les transformateurs électriques ; - imposition sur les stations radioélectriques ; - imposition sur les installations gazières et sur les canalisations de transport de gaz naturel, d'autres hydrocarbures et de produits chimiques ; - imposition sur le matériel ferroviaire roulant utilisé sur le réseau ferré national pour les opérations de transport de voyageurs ; - imposition sur certains matériels roulants utilisés sur les lignes de transport en commun de voyageurs en Île-de-France ; - imposition sur les répartiteurs principaux de la boucle locale cuivre et certains équipements de commutation téléphonique. La taxe sur les éoliennes maritimes, ainsi qu'une redevance proportionnelle sur l'énergie hydraulique. la taxe sur la consommation finale d'électricité, la redevance des mines, la taxe sur les surfaces commerciales (TASCOM).  La taxe sur les friches commerciales, la taxe sur les activités commerciales saisonnières non salariées, la taxe locale sur les enseignes et publicités extérieures (TLPE). Et les taxes diverses dont l’administration de Bercy a le secret : - impôt sur les spectacles, jeux et divertissements, - surtaxe sur les eaux minérales, - taxe sur les remontées mécaniques, - prélèvement progressif sur les produits des jeux dans les casinos, - taxe d'usage des abattoirs publics, - taxe sur les jeux de boules et de quilles comportant des dispositifs électromécaniques… et les taxes propres à l’Ile de France - la taxe pour la création de bureaux et commerce (TCB) - la taxe sur les bureaux (TSB), - la taxe sur les droits de mutation de locaux professionnels. ...  Pourquoi taxer d’un côté pour redonner ensuite de l’argent aux entreprises si ce n’est pour occuper un tas de fonctionnaires (combien par taxe ? et combien pour distribuer ?) éliminons ce jeu perdant puisque les frais de gestion grèvent les 2 processus !) •	Suppression d’une kyrielle d’agences gouvernementales dont l’utilité n’est pas démontrée le gouvernement devra faire le ménage parmi les 1244 agences de l'Etat et s'attaquer à ces comités inutiles, fantômes, dont les missions restent parfois énigmatiques. En voici quelques exemples. • Ces agences aux missions obscures Un certain nombre d'agences présentent des missions aux contours très flous. L'inspection générale des Finances avait notamment pris pour exemple l'Agence de développement de la culture Kanak et l'Agence bibliographique de l'enseignement supérieur. Mais la liste est beaucoup plus longue. Que fait exactement le Centre technique du livre de l'enseignement supérieur (CTLES) ? Et le Service Culture, éditions, ressources pour l'Éducation nationale (SCEREN) ? Les missions qui incombent à l'opérateur du patrimoine et des projets immobiliers de la culture restent également très opaques. • Ces comités fantômes À en croire une annexe du Projet de loi de finances 2014, certains comités, placés directement sous la houlette du gouvernement, siègent rarement, pour ne pas dire jamais. C'est notamment le cas du Comité national des secteurs d'activités d'importance vitale, qui est composé de 26 membres et qui n'avait aucune réunion à son agenda en 2012. Idem pour le Comité stratégique de la sécurité des systèmes d'information dont les coûts de fonctionnement s'élèvent à 24.600 euros en 2012. « Mais ces comités sont composés de fonctionnaires et dépensent peu d’argent », nuance René Dosière, député apparenté PS et spécialiste de la gestion des dépenses publiques. • Ces agences jugées « inutiles » C'est ainsi que la Cour de comptes avait qualifié l'agence de financement des infrastructures de transport de France (AFITF) dans son rapport annuel en 2009. La juridiction financière avait alors écrit qu'il s'agissait d'« une agence de financement aux ambitions limitées, privée de ses moyens» et qu'elle était «désormais inutile». En conclusion, elle recommandait sa suppression en intégrant ses activités à la DGITM (La direction générale des Infrastructures des Transports et de la Mer). Toujours en exercice, cette agence a voté son budget 2014 en février 2014. Comme les années précédentes, l'AFITF prévoit de dépenser 1,8 milliard d'euros sur l'année et affiche une dette de 108 millions d'euros. • Ces agences à la gestion douteuse La Sovafim est sûrement l'un des meilleurs exemples d'agences dont la gestion soulève de nombreuses questions. Chargé de vendre des terrains et des bâtiments de Réseaux ferrés de France depuis sa création en 2006, l'établissement a écoulé l'intégralité des 158 biens qui lui avaient été confiés. Pour compenser la baisse de ses revenus, la société a donc cherché à diversifier ses activités en louant des biens immobiliers ou en investissant dans la production d'énergie solaire ! Or, « cette mutation, nullement prévue lors de sa création, a été opérée dans un cadre juridique dépourvu de stabilité et de clarté », signale la Cour des comptes dans son dernier rapport. La juridiction financière relève également un équilibre économique « incertain » et rappelle que la Sovafim n'a pas reversé un seul centime à Bercy depuis 2008. Sa suppression permettrait de récupérer une trésorerie nette de 65 millions d'euros. Dans son dernier rapport, elle a jugé cette société publique inutile et susceptible de faire courir des risques financiers à l'Etat. L'inspection générale des Finances avait également pointé du doigt l'étrange fonctionnement de la Bibliothèque publique d'information du centre d'art contemporain Beaubourg, qui possède sa propre gestion et son propre financement, au lieu d'être tout simplement reliée au musée. • Le jeu des doublons Le secteur de la santé est le parfait exemple des doublons entre agences. L'Anap (Agence nationale d'appui à la performance des établissements de santé et médico-sociaux), la HAS (Haute autorité de santé) et l'Anesm (Agence nationale de l'évaluation et de la qualité des établissements et services sociaux et médico-sociaux) ont toutes les trois la même mission, faire des recommandations, mais rien ne semble les différencier vraiment les unes des autres. L'Inspection générale des finances avait d'ailleurs dénoncé une dispersion des efforts et un manque de lisibilité institutionnelle. Même constat dans le secteur de la formation où se côtoient le Conseil national de la formation de tout au long de la vie (CNFPTLV), le Conseil national de l'insertion par l'activité économique (CNIAE), le Centre pour le développement de l'information sur la formation permanente (Centre Inffo), l'Association pour la formation professionnelle des adultes (Afpa), l'Institut national du travail, de l'emploi et de la formation professionnelle et bien d'autres encore. Entre 2008 et 2012, l'ancien gouvernement n'a supprimé que 19 agences et en a regroupé près de 136. Une goutte d'eau au regard des 1244 entités dénombrées par l'Inspection générale des finances. Au total, l'Etat pourrait économiser près de 2 milliards d'euros en s'attaquant efficacement à cette nébuleuse de comités. *Une agence de l'Etat est une entité publique chargée de la réalisation d'une mission.   •	La réforme fiscale suivante engagée : o	L’ensemble des revenus seront pris en compte pour l’imposition quelle qu’en soit l’origine (salaire, émoluments, RMI, RSA, revenus du capital, revenus du patrimoine, allocations diverses – familiales, logements, rentes, …) o	Le barème des impôts fera que tous soient imposés au premier euro. o	L’ensemble des niches fiscales sera supprimé sauf : 	Le quotient familial 	Les charges d’emploi de personnels à domicile : en effet, l’employeur peut être considéré au même titre qu’une société et donc les salaires et charges sont totalement déductibles des revenus. 	Les cotisations à une mutuelle d’assurance maladie (déjà acquis pour les salariés uniquement) 	Les dons aux œuvres et associations reconnues d’utilité publique et Syndicats représentatifs (d’où la suppression des subventions directes de l’Etat) 	La taxe d’habitation relative à la résidence principale (si elle n’est pas totalement supprimée) 	Les incitations fiscales pour l’accession à la propriété de sa résidence principale. 	Les investissements à caractère écologique (éolienne, panneaux solaires, géothermie,…) pour la résidence principale. 	L’imposition sera faite par tranche y compris la première même si l’impôt de la première tranche est symbolique, il est important que chacun participe aux dépenses de l’Etat (un minimum de 120€ par an pour la première tranche serait acceptable). o	Des Mesures d’équité seront mises en œuvre pour les retraités :  	suppression du 1% maladie sur les retraites complémentaires, 	déductibilité (50%) fiscale des cotisations d’assurance complémentaire santé,  	rétablissement des revalorisations CNAV en fonction de l’inflation réelle (1,8% en 2018 versus le scandaleux 0,3% pour 2019 et 2020)  Et j’imagine que je suis encore loin du compte sur les simplifications à mettre en œuvre à Bercy !! Il est clair que si tout cela était effectif, il y aurait en parallèle une baisse substantielle des agents de l’Etat car la gestion de tout ce qui précède est gourmand en ressources humaines.  Mais encore : Simplifier le droit du travail (prendre exemple sur le Code du travail de la Suisse !)","La baisse générale des impôts est une nécessité || Il faut supprimer les exemptions et subventions inutiles || Les ""35 heures"" seront abolies || Le temps de travail doit être négocié entre employeurs et salariés || Les fonctionnaires devront s'aligner sur la moyenne des pays européens || Les aides aux entreprises associées aux ""35 heures"" seront supprimées || Les relocalisations seront facilitées par une baisse des charges sur le travail et une hausse de la TVA || Les monopoles syndicaux dans les ports et la presse doivent être ouverts à la concurrence || Le budget de l'État doit supporter le coût des allocations familiales || Le statut de la fonction publique doit passer au droit privé sauf pour les fonctions régaliennes || La rémunération et l'avancement dans la fonction publique doivent être au mérite || La gestion des ressources humaines publique doit être centralisée || La retraite par répartition sera transformée en retraite par points unifiée || Les retraites des fonctionnaires et du privé doivent être alignées || La pénibilité sera reconnue par négociation dans l'entreprise || La date de départ à la retraite sera libre avec un calcul selon les points acquis || Les salariés du privé doivent pouvoir accéder à une retraite par capitalisation || Le contrat de travail doit être unifié en un seul CDI pour le privé et le public || Le statut de fonctionnaire ne doit plus garantir l'emploi à vie || Le budget de l'État doit obligatoirement être à l'équilibre || L'État ne pourra emprunter que pour des investissements d'avenir || Les subventions de l'État aux syndicats et associations seront supprimées || L'ISF sur le capital ne doit pas être rétabli || L'ISF immobilier sera modifié pour favoriser la construction || La taxe d'habitation sera supprimée pour tous || Les taxes sur les entreprises doivent être revues à la baisse || La multiplication des taxes spécifiques et des frais de gestion est un jeu perdant || Il faut supprimer les agences gouvernementales inutiles et les doublons || L'ensemble des revenus doit être pris en compte pour l'imposition || Le barème des impôts doit imposer tous les citoyens dès le premier euro || L'ensemble des niches fiscales sera supprimé sauf exceptions spécifiques || Des mesures d'équité fiscale seront mises en œuvre pour les retraités || Il faut simplifier le droit du travail sur le modèle suisse",statement,positive,neutral
VXNlcjphZTgzMjI3My0xYTI1LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,15,"commencer par réduire les dépenses, tuer les coûts",Il faut commencer par réduire les dépenses et tuer les coûts,statement,positive,neutral
VXNlcjo5MzI1NmZiOC0xZTE2LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,16,Abandonner l'euro,Il faut abandonner l'euro,statement,positive,neutral
